InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Revenue
537463,22191,IVORY DINER WALL CLOCK,2,2010-12-07 10:08:00,8.5,12681.0,France,17.0
561695,22951,60 CAKE CASES DOLLY GIRL DESIGN,24,2011-07-29 10:00:00,0.55,14005.0,United Kingdom,13.200000000000001
538157,22952,60 CAKE CASES VINTAGE CHRISTMAS,6,2010-12-09 16:57:00,0.55,17576.0,United Kingdom,3.3000000000000003
547374,22621,TRADITIONAL KNITTING NANCY,2,2011-03-22 13:54:00,1.45,16110.0,United Kingdom,2.9
565846,21408,SPOTTY PINK DUCK DOORSTOP,1,2011-09-07 12:41:00,4.25,14606.0,United Kingdom,4.25
567338,22654,DELUXE SEWING KIT ,3,2011-09-19 15:00:00,5.95,14146.0,United Kingdom,17.85
C541821,22960,JAM MAKING SET WITH JARS,-2,2011-01-21 16:41:00,4.25,15281.0,United Kingdom,-8.5
540813,22382,LUNCH BAG SPACEBOY DESIGN ,3,2011-01-11 12:41:00,1.65,14669.0,United Kingdom,4.949999999999999
538558,22343,PARTY PIZZA DISH RED RETROSPOT,24,2010-12-13 10:58:00,0.21,13069.0,United Kingdom,5.04
548511,22367,CHILDRENS APRON SPACEBOY DESIGN,2,2011-03-31 15:43:00,1.95,14056.0,United Kingdom,3.9
576300,23343,JUMBO BAG VINTAGE CHRISTMAS ,1,2011-11-14 14:39:00,2.08,15058.0,United Kingdom,2.08
564227,22452,MEASURING TAPE BABUSHKA PINK,6,2011-08-24 10:19:00,2.95,15249.0,United Kingdom,17.700000000000003
551332,35004B,SET OF 3 BLACK FLYING DUCKS,12,2011-04-27 16:23:00,4.65,13078.0,United Kingdom,55.800000000000004
578927,20713,JUMBO BAG OWLS,3,2011-11-27 12:26:00,2.08,15747.0,United Kingdom,6.24
548666,22193,RED DINER WALL CLOCK,1,2011-04-01 14:58:00,8.5,13124.0,United Kingdom,8.5
537757,82483,WOOD 2 DRAWER CABINET WHITE FINISH,16,2010-12-08 11:38:00,4.95,17975.0,United Kingdom,79.2
569897,22722,SET OF 6 SPICE TINS PANTRY DESIGN,1,2011-10-06 16:01:00,3.95,17813.0,United Kingdom,3.95
577855,22286,DECORATION WOBBLY RABBIT METAL ,1,2011-11-22 11:18:00,0.39,15877.0,United Kingdom,0.39
576236,22274,FELTCRAFT DOLL EMILY,1,2011-11-14 13:31:00,2.95,13755.0,United Kingdom,2.95
554938,21975,PACK OF 60 DINOSAUR CAKE CASES,24,2011-05-27 13:34:00,0.55,12876.0,Belgium,13.200000000000001
567768,21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,10,2011-09-22 11:17:00,2.08,15950.0,United Kingdom,20.8
578707,23114,VINTAGE LEAF CHOPPING BOARD  ,1,2011-11-25 11:20:00,4.95,17870.0,United Kingdom,4.95
537781,22759,SET OF 3 NOTEBOOKS IN PARCEL,1,2010-12-08 12:46:00,1.65,17341.0,United Kingdom,1.65
574671,35471D,SET OF 3 BIRD LIGHT PINK FEATHER ,5,2011-11-06 12:23:00,0.39,16744.0,United Kingdom,1.9500000000000002
575755,23222,CHRISTMAS TREE HANGING GOLD,12,2011-11-11 10:45:00,0.83,17015.0,United Kingdom,9.959999999999999
572312,21484,CHICK GREY HOT WATER BOTTLE,1,2011-10-23 15:47:00,4.25,15022.0,United Kingdom,4.25
574544,23389,SPACEBOY MINI BACKPACK,4,2011-11-04 14:49:00,4.15,17084.0,United Kingdom,16.6
562892,21122,SET/10 PINK POLKADOT PARTY CANDLES,24,2011-08-10 12:24:00,1.25,16292.0,United Kingdom,30.0
579142,22975,SPACEBOY CHILDRENS EGG CUP,6,2011-11-28 13:06:00,1.25,16744.0,United Kingdom,7.5
546028,23006,TRAVEL CARD WALLET FLOWER MEADOW,24,2011-03-09 08:33:00,0.42,17049.0,United Kingdom,10.08
568593,23196,VINTAGE LEAF MAGNETIC NOTEPAD,12,2011-09-28 10:54:00,1.45,13988.0,United Kingdom,17.4
565067,22419,LIPSTICK PEN RED,5,2011-08-31 17:16:00,0.42,15856.0,United Kingdom,2.1
544042,82580,BATHROOM METAL SIGN,2,2011-02-15 11:52:00,0.55,14527.0,United Kingdom,1.1
570855,23225,CHERUB HEART DECORATION SILVER ,12,2011-10-12 14:56:00,0.83,17314.0,United Kingdom,9.959999999999999
552851,23170,REGENCY TEA PLATE ROSES ,48,2011-05-11 15:07:00,1.45,12731.0,France,69.6
577063,22866,HAND WARMER SCOTTY DOG DESIGN,12,2011-11-17 14:41:00,2.1,17183.0,United Kingdom,25.200000000000003
571502,84970L,SINGLE HEART ZINC T-LIGHT HOLDER,12,2011-10-17 15:18:00,1.25,14422.0,United Kingdom,15.0
537034,22314,OFFICE MUG WARMER CHOC+BLUE,6,2010-12-03 17:20:00,2.95,13081.0,United Kingdom,17.700000000000003
569228,22712,CARD DOLLY GIRL ,12,2011-10-02 14:47:00,0.42,15547.0,United Kingdom,5.04
C580966,22130,PARTY CONE CHRISTMAS DECORATION ,-1,2011-12-06 14:52:00,0.85,16554.0,United Kingdom,-0.85
571461,72807B,SET/3 OCEAN SCENT CANDLE JEWEL BOX,1,2011-10-17 14:12:00,4.25,16932.0,United Kingdom,4.25
C554336,22431,WATERING CAN BLUE ELEPHANT,-1,2011-05-23 17:20:00,1.95,12474.0,Germany,-1.95
568896,22886,NUMBER TILE VINTAGE FONT 7,2,2011-09-29 13:13:00,1.95,16361.0,United Kingdom,3.9
577485,23309,SET OF 60 I LOVE LONDON CAKE CASES ,2,2011-11-20 11:56:00,0.55,16360.0,United Kingdom,1.1
558195,85099B,JUMBO BAG RED RETROSPOT,10,2011-06-27 12:32:00,2.08,17735.0,United Kingdom,20.8
570675,22427,ENAMEL FLOWER JUG CREAM,3,2011-10-11 15:03:00,5.95,13690.0,United Kingdom,17.85
577951,23100,SILVER BELLS TABLE DECORATION,1,2011-11-22 12:09:00,1.25,17238.0,United Kingdom,1.25
569844,22745,POPPY'S PLAYHOUSE BEDROOM ,6,2011-10-06 13:30:00,2.1,12626.0,Germany,12.600000000000001
578244,23206,LUNCH BAG APPLE DESIGN,10,2011-11-23 12:36:00,1.65,15727.0,United Kingdom,16.5
537421,22187,GREEN CHRISTMAS TREE CARD HOLDER,1,2010-12-06 15:25:00,4.25,17218.0,United Kingdom,4.25
576062,22279,POCKET BAG BLUE PAISLEY RED SPOT,12,2011-11-13 15:30:00,1.25,12867.0,United Kingdom,15.0
545815,47590B,PINK HAPPY BIRTHDAY BUNTING,6,2011-03-07 12:26:00,5.45,14012.0,United Kingdom,32.7
570197,22510,GINGHAM BABUSHKA DOORSTOP,7,2011-10-07 15:45:00,3.75,13755.0,United Kingdom,26.25
554134,23280,FOLDING BUTTERFLY MIRROR HOT PINK ,24,2011-05-23 09:48:00,0.83,12583.0,France,19.919999999999998
541253,21733,RED HANGING HEART T-LIGHT HOLDER,2,2011-01-16 13:51:00,2.95,17841.0,United Kingdom,5.9
545468,22178,VICTORIAN GLASS HANGING T-LIGHT,12,2011-03-03 09:41:00,1.25,16571.0,United Kingdom,15.0
561068,84949,SILVER HANGING T-LIGHT HOLDER,12,2011-07-24 14:33:00,1.65,13116.0,United Kingdom,19.799999999999997
577806,22138,BAKING SET 9 PIECE RETROSPOT ,3,2011-11-22 08:20:00,4.95,12963.0,United Kingdom,14.850000000000001
570211,22573,STAR WOODEN CHRISTMAS DECORATION,1,2011-10-09 11:15:00,0.85,13558.0,United Kingdom,0.85
580539,22075,6 RIBBONS ELEGANT CHRISTMAS ,24,2011-12-05 08:39:00,0.39,18180.0,United Kingdom,9.36
549017,21843,RED RETROSPOT CAKE STAND,2,2011-04-05 15:20:00,10.95,15145.0,United Kingdom,21.9
556127,22652,TRAVEL SEWING KIT,10,2011-06-09 10:23:00,1.65,12406.0,Denmark,16.5
574657,23510,MINI PLAYING CARDS GYMKHANA,2,2011-11-06 11:43:00,0.42,13772.0,United Kingdom,0.84
548312,22917,HERB MARKER ROSEMARY,2,2011-03-30 12:12:00,0.65,16059.0,United Kingdom,1.3
556107,90204,PAIR OF ENAMEL BUTTERFLY HAIRCLIP,1,2011-06-08 17:09:00,3.35,17360.0,United Kingdom,3.35
573019,20983,12 PENCILS TALL TUBE RED RETROSPOT,12,2011-10-27 12:33:00,0.85,15145.0,United Kingdom,10.2
574678,22382,LUNCH BAG SPACEBOY DESIGN ,10,2011-11-06 12:36:00,1.65,13365.0,United Kingdom,16.5
580727,22488,NATURAL SLATE RECTANGLE CHALKBOARD,1,2011-12-05 17:17:00,3.29,14096.0,United Kingdom,3.29
575740,20750,RED RETROSPOT MINI CASES,2,2011-11-11 09:25:00,7.95,18130.0,United Kingdom,15.9
580632,35970,ZINC FOLKART SLEIGH BELLS,3,2011-12-05 12:16:00,1.69,16360.0,United Kingdom,5.07
575852,85036B,CHOCOLATE 1 WICK MORRIS BOX CANDLE,6,2011-11-11 12:17:00,1.25,17238.0,United Kingdom,7.5
575692,20975,12 PENCILS SMALL TUBE RED RETROSPOT,5,2011-11-10 16:27:00,0.65,12508.0,France,3.25
574738,23169,CLASSIC GLASS COOKIE JAR,1,2011-11-06 16:01:00,4.15,12748.0,United Kingdom,4.15
576099,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,18,2011-11-14 10:28:00,0.79,13021.0,United Kingdom,14.22
576406,16156S,WRAP PINK FAIRY CAKES ,25,2011-11-15 11:17:00,0.42,13692.0,United Kingdom,10.5
577700,21616,4 PEAR BOTANICAL DINNER CANDLES,3,2011-11-21 12:06:00,1.25,14449.0,United Kingdom,3.75
560209,21716,BOYS VINTAGE TIN SEASIDE BUCKET,2,2011-07-15 14:05:00,2.55,15004.0,United Kingdom,5.1
546830,21974,SET OF 36 PAISLEY FLOWER DOILIES,12,2011-03-17 12:10:00,1.45,16839.0,United Kingdom,17.4
557758,22233,JIGSAW RABBIT AND BIRDHOUSE,1,2011-06-22 13:28:00,0.59,17585.0,United Kingdom,0.59
541987,21446,12 RED ROSE PEG PLACE SETTINGS,2,2011-01-24 16:05:00,1.25,14130.0,United Kingdom,2.5
575965,22713,CARD I LOVE LONDON ,12,2011-11-13 12:32:00,0.42,13426.0,United Kingdom,5.04
558568,22846,BREAD BIN DINER STYLE RED ,1,2011-06-30 14:37:00,16.95,16316.0,United Kingdom,16.95
555399,22147,FELTCRAFT BUTTERFLY HEARTS,3,2011-06-02 17:41:00,1.45,15555.0,United Kingdom,4.35
579749,22644,CERAMIC CHERRY CAKE MONEY BANK,12,2011-11-30 14:41:00,1.45,13362.0,United Kingdom,17.4
561661,47343A,FUSCHIA FLOWER PURSE WITH BEADS,1,2011-07-28 16:21:00,0.83,12743.0,Unspecified,0.83
564846,23263,SET OF 3 WOODEN HEART DECORATIONS,12,2011-08-30 15:16:00,1.25,14507.0,United Kingdom,15.0
571883,21807,WHITE CHRISTMAS STAR DECORATION,1,2011-10-19 13:58:00,0.42,14704.0,United Kingdom,0.42
557861,21114,LAVENDER SCENTED FABRIC HEART,10,2011-06-23 12:13:00,1.25,13437.0,United Kingdom,12.5
C562022,22960,JAM MAKING SET WITH JARS,-2,2011-08-01 15:39:00,3.75,17389.0,United Kingdom,-7.5
580727,22123,PING MICROWAVE APRON,2,2011-12-05 17:17:00,4.13,14096.0,United Kingdom,8.26
542107,84992,72 SWEETHEART FAIRY CAKE CASES,1,2011-01-25 13:38:00,0.55,16222.0,United Kingdom,0.55
568833,23103,JINGLE BELL HEART DECORATION,24,2011-09-29 11:39:00,1.65,17348.0,United Kingdom,39.599999999999994
556784,21678,PAISLEY PATTERN  STICKERS,6,2011-06-14 13:15:00,0.85,14461.0,United Kingdom,5.1
C543475,22244,3 HOOK HANGER MAGIC GARDEN,-1,2011-02-08 15:15:00,1.95,14415.0,United Kingdom,-1.95
579267,22698,PINK REGENCY TEACUP AND SAUCER,6,2011-11-29 09:42:00,2.95,14961.0,United Kingdom,17.700000000000003
555931,23147,SINGLE ANTIQUE ROSE HOOK IVORY,12,2011-06-08 08:31:00,1.45,17828.0,Malta,17.4
541658,22753,SMALL YELLOW BABUSHKA NOTEBOOK ,3,2011-01-20 12:16:00,0.85,15529.0,United Kingdom,2.55
540187,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,12,2011-01-05 13:53:00,1.25,15358.0,United Kingdom,15.0
575194,20971,PINK BLUE FELT CRAFT TRINKET BOX,12,2011-11-09 09:38:00,1.25,16767.0,United Kingdom,15.0
576062,20975,12 PENCILS SMALL TUBE RED RETROSPOT,3,2011-11-13 15:30:00,0.65,12867.0,United Kingdom,1.9500000000000002
573588,22195,LARGE HEART MEASURING SPOONS,12,2011-10-31 15:01:00,1.65,12588.0,Finland,19.799999999999997
580502,22422,TOOTHPASTE TUBE PEN,12,2011-12-04 13:15:00,0.12,16931.0,United Kingdom,1.44
574714,21790,VINTAGE SNAP CARDS,3,2011-11-06 14:29:00,0.85,15427.0,United Kingdom,2.55
569521,21163,DO NOT TOUCH MY STUFF DOOR HANGER ,1,2011-10-04 14:33:00,0.39,16474.0,United Kingdom,0.39
566451,23129,HEART SHAPED HOLLY WREATH,2,2011-09-12 16:14:00,4.15,18069.0,United Kingdom,8.3
564729,21977,PACK OF 60 PINK PAISLEY CAKE CASES,3,2011-08-28 12:44:00,0.55,13137.0,United Kingdom,1.6500000000000001
576677,23581,JUMBO BAG PAISLEY PARK,6,2011-11-16 12:03:00,2.08,16393.0,United Kingdom,12.48
548616,21983,PACK OF 12 BLUE PAISLEY TISSUES ,24,2011-04-01 11:48:00,0.29,18263.0,United Kingdom,6.959999999999999
554073,22418,10 COLOUR SPACEBOY PEN,24,2011-05-22 11:26:00,0.85,17007.0,United Kingdom,20.4
545227,21932,SCANDINAVIAN PAISLEY PICNIC BAG,5,2011-03-01 09:35:00,2.95,12428.0,Finland,14.75
578016,22077,6 RIBBONS RUSTIC CHARM,6,2011-11-22 13:02:00,1.95,14506.0,United Kingdom,11.7
C567902,22382,LUNCH BAG SPACEBOY DESIGN ,-1,2011-09-22 16:29:00,1.65,15555.0,United Kingdom,-1.65
553505,23080,RED METAL BOX TOP SECRET,2,2011-05-17 13:27:00,8.25,12949.0,United Kingdom,16.5
540907,20711,JUMBO BAG TOYS ,10,2011-01-12 11:52:00,1.95,13488.0,United Kingdom,19.5
537362,22630,DOLLY GIRL LUNCH BOX,1,2010-12-06 12:34:00,1.95,17596.0,United Kingdom,1.95
575846,22745,POPPY'S PLAYHOUSE BEDROOM ,2,2011-11-11 12:07:00,2.1,17364.0,United Kingdom,4.2
537176,22553,PLASTERS IN TIN SKULLS,4,2010-12-05 13:26:00,1.65,16411.0,United Kingdom,6.6
548655,22423,REGENCY CAKESTAND 3 TIER,1,2011-04-01 13:47:00,12.75,15605.0,United Kingdom,12.75
563555,23335,EGG FRYING PAN IVORY ,1,2011-08-17 13:21:00,2.08,16755.0,United Kingdom,2.08
568895,21901,"KEY FOB , BACK DOOR ",5,2011-09-29 13:11:00,0.65,15356.0,United Kingdom,3.25
568645,23108,SET OF 10 LED DOLLY LIGHTS,2,2011-09-28 11:38:00,6.25,12656.0,France,12.5
541241,21389,IVORY HANGING DECORATION  BIRD,4,2011-01-16 11:08:00,0.85,13782.0,United Kingdom,3.4
552269,22917,HERB MARKER ROSEMARY,1,2011-05-08 11:52:00,0.65,16121.0,United Kingdom,0.65
539728,85177,BASKET OF FLOWERS SEWING KIT,12,2010-12-21 14:26:00,0.85,16270.0,United Kingdom,10.2
543367,85049C,ROMANTIC PINKS RIBBONS ,12,2011-02-07 14:33:00,1.25,18225.0,United Kingdom,15.0
547805,22325,MOBILE VINTAGE HEARTS ,3,2011-03-25 13:35:00,4.95,13327.0,United Kingdom,14.850000000000001
547962,21843,RED RETROSPOT CAKE STAND,1,2011-03-28 15:38:00,10.95,12957.0,United Kingdom,10.95
544277,17038,PORCELAIN BUDAH INCENSE HOLDER,100,2011-02-17 11:58:00,0.1,13718.0,United Kingdom,10.0
567505,22617,BAKING SET SPACEBOY DESIGN,3,2011-09-20 14:34:00,4.95,12352.0,Norway,14.850000000000001
549056,22699,ROSES REGENCY TEACUP AND SAUCER ,4,2011-04-06 10:40:00,2.95,15917.0,United Kingdom,11.8
540458,22746,POPPY'S PLAYHOUSE LIVINGROOM ,6,2011-01-07 12:28:00,2.1,12501.0,Germany,12.600000000000001
558628,23290,SPACEBOY CHILDRENS BOWL,8,2011-06-30 17:59:00,1.25,12626.0,Germany,10.0
569714,21934,SKULL SHOULDER BAG,1,2011-10-05 17:28:00,1.65,18033.0,United Kingdom,1.65
543107,22261,FELT EGG COSY WHITE RABBIT ,12,2011-02-03 12:27:00,0.85,13800.0,United Kingdom,10.2
542591,84078A,SET/4 WHITE RETRO STORAGE CUBES ,3,2011-01-28 16:42:00,39.95,13089.0,United Kingdom,119.85000000000001
567184,23247,BISCUIT TIN 50'S CHRISTMAS,2,2011-09-18 15:41:00,2.89,16033.0,United Kingdom,5.78
567475,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,1,2011-09-20 13:11:00,2.55,16360.0,United Kingdom,2.55
556879,22560,TRADITIONAL MODELLING CLAY,1,2011-06-15 12:07:00,1.25,16461.0,United Kingdom,1.25
551533,20674,GREEN POLKADOT BOWL,2,2011-05-01 14:58:00,1.25,15407.0,United Kingdom,2.5
557572,21499,BLUE POLKADOT WRAP,100,2011-06-21 10:55:00,0.42,15061.0,United Kingdom,42.0
578151,23495,SET OF 3 PANTRY WOODEN SPOONS,12,2011-11-23 11:18:00,1.25,16020.0,United Kingdom,15.0
542887,21931,JUMBO STORAGE BAG SUKI,20,2011-02-01 13:10:00,1.95,12373.0,Austria,39.0
C557648,22197,POPCORN HOLDER,-3,2011-06-21 17:14:00,0.72,17677.0,United Kingdom,-2.16
562688,22210,WOOD STAMP SET BEST WISHES,4,2011-08-08 13:53:00,0.83,13869.0,United Kingdom,3.32
554096,21747,SMALL SKULL WINDMILL,24,2011-05-22 12:51:00,1.25,14921.0,United Kingdom,30.0
578926,22940,FELTCRAFT CHRISTMAS FAIRY,1,2011-11-27 12:24:00,4.25,18156.0,United Kingdom,4.25
568165,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2011-09-25 12:42:00,2.95,17131.0,United Kingdom,17.700000000000003
578707,84510A,SET OF 4 ENGLISH ROSE COASTERS,2,2011-11-25 11:20:00,1.25,17870.0,United Kingdom,2.5
567912,23322,LARGE WHITE HEART OF WICKER,1,2011-09-22 17:07:00,2.95,15555.0,United Kingdom,2.95
554917,22855,FINE WICKER HEART ,12,2011-05-27 12:29:00,1.25,15104.0,United Kingdom,15.0
574677,22798,ANTIQUE GLASS DRESSING TABLE POT,2,2011-11-06 12:32:00,2.95,16445.0,United Kingdom,5.9
575324,21533,RETROSPOT LARGE MILK JUG,9,2011-11-09 13:45:00,4.95,14240.0,United Kingdom,44.550000000000004
546678,22312,OFFICE MUG WARMER POLKADOT,6,2011-03-15 16:39:00,2.95,12681.0,France,17.700000000000003
545701,22633,HAND WARMER UNION JACK,4,2011-03-06 15:17:00,2.1,17107.0,United Kingdom,8.4
561025,22412,METAL SIGN NEIGHBOURHOOD WITCH ,1,2011-07-24 10:37:00,2.1,16241.0,United Kingdom,2.1
547772,84916,HAND TOWEL PALE BLUE W FLOWERS,2,2011-03-25 11:34:00,5.95,17979.0,United Kingdom,11.9
547920,84978,HANGING HEART JAR T-LIGHT HOLDER,3,2011-03-28 12:52:00,1.25,14730.0,United Kingdom,3.75
539044,22878,NUMBER TILE COTTAGE GARDEN No,10,2010-12-15 15:47:00,2.1,15727.0,United Kingdom,21.0
580974,21507,ELEPHANT BIRTHDAY CARD ,12,2011-12-06 15:17:00,0.42,14293.0,United Kingdom,5.04
536846,22502,PICNIC BASKET WICKER SMALL,1,2010-12-02 19:59:00,5.95,14573.0,United Kingdom,5.95
564342,22570,FELTCRAFT CUSHION RABBIT,1,2011-08-24 14:53:00,3.75,16340.0,United Kingdom,3.75
561713,22966,GINGERBREAD MAN COOKIE CUTTER,78,2011-07-29 11:56:00,1.25,12901.0,United Kingdom,97.5
542617,85035A,GARDENIA 3 WICK MORRIS BOXED CANDLE,1,2011-01-30 15:48:00,4.25,17463.0,United Kingdom,4.25
546531,22270,HAPPY EASTER HANGING DECORATION,4,2011-03-14 13:35:00,3.75,15738.0,United Kingdom,15.0
548868,22509,SEWING BOX RETROSPOT DESIGN ,1,2011-04-04 14:28:00,16.95,13015.0,United Kingdom,16.95
568589,21428,SET3 BOOK BOX GREEN GINGHAM FLOWER ,4,2011-09-28 10:27:00,4.25,17405.0,United Kingdom,17.0
569327,22548,HEADS AND TAILS SPORTING FUN,12,2011-10-03 12:47:00,1.25,15091.0,United Kingdom,15.0
567526,22625,RED KITCHEN SCALES,48,2011-09-21 09:06:00,7.65,12435.0,Denmark,367.20000000000005
567853,22970,LONDON BUS COFFEE MUG,6,2011-09-22 13:31:00,2.55,15484.0,United Kingdom,15.299999999999999
564355,47566,PARTY BUNTING,4,2011-08-24 15:12:00,4.95,13507.0,United Kingdom,19.8
568301,21232,STRAWBERRY CERAMIC TRINKET BOX,1,2011-09-26 12:45:00,1.25,16383.0,United Kingdom,1.25
573380,23329,DECORATIVE WICKER HEART LARGE,2,2011-10-30 14:04:00,1.65,14572.0,United Kingdom,3.3
563730,22297,HEART IVORY TRELLIS SMALL,24,2011-08-18 17:43:00,1.25,14221.0,United Kingdom,30.0
566213,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,18,2011-09-09 15:09:00,2.95,14895.0,United Kingdom,53.1
560239,21442,GREEN BIRDHOUSE DECORATION,12,2011-07-17 11:50:00,0.85,13507.0,United Kingdom,10.2
567166,82582,AREA PATROLLED METAL SIGN,12,2011-09-18 12:15:00,2.1,13078.0,United Kingdom,25.200000000000003
540839,22241,GARLAND WOODEN HAPPY EASTER,3,2011-01-11 15:42:00,1.25,16791.0,United Kingdom,3.75
547063,82578,KITCHEN METAL SIGN,2,2011-03-20 13:33:00,0.55,14769.0,United Kingdom,1.1
550785,17084J,LOVE POTION MASALA INCENSE,25,2011-04-20 14:02:00,0.21,15517.0,United Kingdom,5.25
538473,85152,HAND OVER THE CHOCOLATE   SIGN ,4,2010-12-12 12:35:00,2.1,13668.0,United Kingdom,8.4
550152,22302,COFFEE MUG PEARS  DESIGN,4,2011-04-14 14:43:00,2.55,17362.0,United Kingdom,10.2
572893,22252,BIRDCAGE DECORATION TEALIGHT HOLDER,12,2011-10-26 14:36:00,1.25,18059.0,United Kingdom,15.0
577025,21098,CHRISTMAS TOILET ROLL,12,2011-11-17 12:54:00,1.25,16161.0,United Kingdom,15.0
555851,22907,PACK OF 20 NAPKINS PANTRY DESIGN,2,2011-06-07 13:37:00,0.85,13050.0,United Kingdom,1.7
546563,22911,PAPER CHAIN KIT LONDON,6,2011-03-15 10:49:00,2.95,15047.0,United Kingdom,17.700000000000003
578757,21429,RED GINGHAM ROSE JEWELLERY BOX,2,2011-11-25 11:41:00,1.95,12748.0,United Kingdom,3.9
578289,85053,FRENCH ENAMEL CANDLEHOLDER,4,2011-11-23 14:07:00,2.1,17841.0,United Kingdom,8.4
C578832,21972,SET OF 36 DINOSAUR PAPER DOILIES,-1,2011-11-25 15:18:00,1.45,13069.0,United Kingdom,-1.45
577052,22372,AIRLINE BAG VINTAGE WORLD CHAMPION ,1,2011-11-17 14:08:00,4.25,17397.0,United Kingdom,4.25
551289,21746,SMALL RED RETROSPOT WINDMILL,96,2011-04-27 14:18:00,1.06,18226.0,United Kingdom,101.76
